Data,Song,First,Second,Third
17/02/2022,The Prince of Egypt,WS,WM,MT
17/02/2022,How to train your dragon,"WS, WM",MT,MB
17/02/2022,Skyfall,"WM, MB",MT,WS
17/02/2022,Indiana Jones,"WM, MB",MT,WS
01/03/2022,Oye como va,"JK, MB","WS, MT","JN, GG"
01/03/2022,Janosik,"WS, MB","MT, JK","JN, GG"
01/03/2022,Captain America March,"MT, JK","WS, MB","JN, GG"
01/03/2022,"Sing, sing, sing","WS, MB","JK, MT","JN, GG"
01/03/2022,Phil Collins Collection,"WS, MB","JK, MT","JN, GG"
01/03/2022,The Greatest Show,"JK, MT, MB","WS, JN, GG",
01/03/2022,How to train your dragon,"WS, MB","MT, JK","JN, GG"
03/03/2022,The Greatest Show,"MB, MT","WS, JK",
03/03/2022,The Prince of Egypt,"WS, MT",JK,MB
03/03/2022,Phil Collins Collection,WS,JK,MT
03/03/2022,The Lion King,"MT, WS",JK,JN
08/03/2022,Abba Gold,"WS, JK","WM, GG",JN
08/03/2022,Colors of the wind,"WS, GG","WM, JK",JN
08/03/2022,"Ragtime ""Va Bank""","WS, GG","WM, JK",JN
08/03/2022,Liverpool Sound Collection,"WS, GG","WM, JK",JN
08/03/2022,"Sing, sing, sing","WS, KG","GG, WM","JN, JK"
08/03/2022,Don't stop me now,"GG, JK","WS, WM","KG, JN"
08/03/2022,It don't mean a thing,"GG, KG","WS, JN, GG",JK
08/03/2022,How to train your dragon,"WS, GG","KG, JN",JK
08/03/2022,The Lion King,"WS, GG","KG, JN",JK
08/03/2022,The Greatest Show,"WS, GG","KG, JN",JK
